iter	RMSE
0	3493.27101
1	3363.534352
2	3241.216629
3	3127.221425
4	3028.289432
5	2935.955193
6	2850.955448
7	2771.301027
8	2700.572186
9	2631.338672
10	2571.72173
11	2517.738294
12	2467.126874
13	2423.031899
14	2384.058943
15	2347.861944
16	2315.593927
17	2287.47462
18	2257.57524
19	2230.351818
20	2205.803159
21	2181.831105
22	2160.126556
23	2142.714936
24	2123.86258
25	2106.473428
26	2091.594437
27	2077.206489
28	2066.522288
29	2055.324764
30	2042.873554
31	2033.218039
32	2024.354367
33	2014.216471
34	2005.665013
35	1997.939875
36	1991.034053
37	1982.95075
38	1975.603166
39	1966.986519
40	1958.919456
41	1954.172104
42	1948.812751
43	1943.332977
44	1937.206715
45	1932.395017
46	1927.434512
47	1920.940583
48	1916.39852
49	1912.469132
50	1905.200635
51	1901.117034
52	1898.364254
53	1894.317258
54	1890.899395
55	1887.875031
56	1883.957732
57	1881.153989
58	1876.665683
59	1873.645823
60	1869.052078
61	1866.018982
62	1863.27317
63	1860.729944
64	1858.209583
65	1856.379531
66	1851.654939
67	1848.910416
68	1844.141511
69	1840.958786
70	1837.986239
71	1835.514179
72	1833.504727
73	1829.11156
74	1825.988375
75	1824.115348
76	1821.08875
77	1818.408686
78	1815.856982
79	1814.454315
80	1812.412361
81	1810.235899
82	1805.715629
83	1802.529634
84	1800.154207
85	1797.40593
86	1793.871832
87	1791.831772
88	1790.200794
89	1788.076387
90	1785.730956
91	1781.888338
92	1779.37749
93	1777.456677
94	1774.545892
95	1772.172305
96	1770.428849
97	1767.933126
98	1766.292653
99	1764.868724
100	1762.57306
101	1759.493072
102	1757.860231
103	1754.838582
104	1753.337192
105	1749.855971
106	1748.37375
107	1746.020467
108	1744.576079
109	1743.411007
110	1742.186793
111	1739.603427
112	1738.440653
113	1737.142922
114	1735.680142
115	1734.315547
116	1732.877644
117	1732.200109
118	1730.998562
119	1729.799005
120	1728.085259
121	1726.833492
122	1726.063976
123	1724.129195
124	1722.583114
125	1722.011039
126	1721.039618
127	1718.921899
128	1718.000292
129	1717.011055
130	1715.268572
131	1713.394533
132	1711.856102
133	1710.429457
134	1708.746874
135	1707.592903
136	1704.736976
137	1703.602291
138	1701.256014
139	1699.827383
140	1697.437605
141	1696.058645
142	1695.089706
143	1693.835673
144	1692.695219
145	1691.149755
146	1689.982072
147	1688.525921
148	1687.343533
149	1686.102124
150	1685.332302
151	1683.083356
152	1681.482777
153	1679.346311
154	1677.691543
155	1675.976581
156	1674.080361
157	1671.622788
158	1670.042924
159	1668.883781
160	1666.995295
161	1664.65492
162	1663.153618
163	1661.859025
164	1661.081576
165	1659.711835
166	1658.207667
167	1656.938413
168	1655.794558
169	1653.79167
170	1651.872614
171	1651.077442
172	1649.673434
173	1648.347798
174	1647.212216
175	1646.054756
176	1644.667725
177	1643.603156
178	1641.993781
179	1640.866463
180	1639.561349
181	1637.982101
182	1636.738125
183	1635.314466
184	1634.654621
185	1633.568143
186	1632.985946
187	1631.969001
188	1630.527037
189	1629.449246
190	1628.304959
191	1627.449246
192	1626.360086
193	1625.47354
194	1624.286816
195	1623.611477
196	1622.66005
197	1620.934337
198	1619.974823
199	1618.923755
200	1617.049911
201	1616.071661
202	1614.545235
203	1613.721787
204	1612.098554
205	1610.428481
206	1609.709123
207	1608.197401
208	1607.324166
209	1606.493388
210	1605.538096
211	1604.764793
212	1603.480586
213	1602.579021
214	1601.413033
215	1600.271993
216	1599.345118
217	1598.35514
218	1597.366431
219	1596.339217
220	1594.81622
221	1593.881643
222	1592.320519
223	1591.727891
224	1590.597032
225	1589.876652
226	1589.134577
227	1588.410914
228	1587.753066
229	1585.465275
230	1584.526368
231	1582.450687
232	1581.545577
233	1580.703902
234	1580.058035
235	1578.775398
236	1577.400293
237	1576.21682
238	1575.420911
239	1574.436284
240	1573.849325
241	1572.376585
242	1571.546407
243	1570.649733
244	1569.519692
245	1568.782003
246	1567.788957
247	1566.907278
248	1565.424706
249	1564.573479
250	1563.616046
251	1562.943129
252	1562.230168
253	1561.0193
254	1560.463666
255	1559.705549
256	1559.281837
257	1558.612503
258	1556.980553
259	1556.476089
260	1555.604706
261	1554.366546
262	1553.990503
263	1553.255465
264	1552.402893
265	1551.695769
266	1551.03697
267	1549.964047
268	1548.993707
269	1548.310417
270	1547.828015
271	1547.14895
272	1546.51324
273	1545.676546
274	1544.81023
275	1544.18052
276	1542.758242
277	1541.915754
278	1541.403451
279	1540.737216
280	1540.429282
281	1539.648234
282	1539.345123
283	1538.513649
284	1536.544942
285	1535.901286
286	1534.690144
287	1533.637894
288	1533.193301
289	1532.862564
290	1532.39556
291	1531.648932
292	1530.328727
293	1529.483992
294	1529.170751
295	1528.550995
296	1528.139963
297	1527.634335
298	1526.99336
299	1525.514635
300	1524.897502
301	1524.144377
302	1523.624143
303	1522.854667
304	1522.009273
305	1521.268438
306	1520.830256
307	1519.739571
308	1519.306036
309	1518.533737
310	1518.093176
311	1517.419046
312	1516.30087
313	1516.016404
314	1515.483123
315	1515.038933
316	1514.528321
317	1513.866888
318	1513.135206
319	1512.354129
320	1511.536557
321	1511.049325
322	1510.641152
323	1510.448598
324	1509.461347
325	1508.138874
326	1507.356436
327	1506.658759
328	1506.138885
329	1505.350985
330	1504.629653
331	1503.549998
332	1502.79587
333	1501.452631
334	1500.795354
335	1499.415802
336	1498.667271
337	1498.045249
338	1497.3519
339	1496.964355
340	1496.430024
341	1495.782713
342	1494.489821
343	1493.758845
344	1493.096749
345	1492.401107
346	1491.998306
347	1491.2765
348	1490.614842
349	1490.145348
350	1489.684031
351	1488.879437
352	1488.416523
353	1487.811729
354	1486.759078
355	1486.286211
356	1485.889614
357	1485.388495
358	1484.735941
359	1484.15003
360	1483.850397
361	1482.934665
362	1482.488564
363	1481.68603
364	1480.999042
365	1480.211707
366	1479.629098
367	1479.171701
368	1478.588017
369	1478.086386
370	1477.502037
371	1477.171976
372	1476.712187
373	1476.436942
374	1475.533376
375	1474.450557
376	1473.680556
377	1472.772698
378	1472.520587
379	1471.872236
380	1471.560241
381	1471.216657
382	1470.774185
383	1470.154283
384	1469.527385
385	1468.853136
386	1468.17756
387	1467.973918
388	1467.322735
389	1467.011673
390	1466.835479
391	1466.183495
392	1465.786988
393	1465.102892
394	1464.956325
395	1464.658491
396	1464.071847
397	1463.434618
398	1462.674895
399	1462.029073
400	1461.176189
401	1460.811793
402	1460.536576
403	1459.769035
404	1458.908623
405	1457.945901
406	1457.574556
407	1457.007856
408	1456.406191
409	1456.030099
410	1455.486777
411	1455.041826
412	1454.836374
413	1453.794636
414	1453.123894
415	1451.906363
416	1451.426093
417	1450.797305
418	1450.481986
419	1449.885642
420	1449.526234
421	1449.142468
422	1448.599625
423	1447.941901
424	1447.230419
425	1446.983712
426	1446.479531
427	1446.202729
428	1445.65775
429	1444.449534
430	1443.778323
431	1443.49768
432	1443.302592
433	1442.559905
434	1442.158473
435	1441.674038
436	1441.184759
437	1440.144686
438	1439.612564
439	1439.40318
440	1438.679852
441	1438.036858
442	1437.632772
443	1437.178724
444	1436.808542
445	1436.480291
446	1435.92023
447	1435.031083
448	1434.812283
449	1434.181006
450	1433.732237
451	1433.255967
452	1432.978176
453	1432.577789
454	1432.423275
455	1432.017666
456	1431.514262
457	1431.111797
458	1430.428201
459	1430.029562
460	1429.082022
461	1428.23366
462	1428.08854
463	1427.700564
464	1427.210686
465	1426.933576
466	1426.154298
467	1425.902664
468	1425.535938
469	1424.696427
470	1424.268555
471	1423.425984
472	1423.182911
473	1422.423329
474	1421.938499
475	1420.968694
476	1420.213924
477	1419.49267
478	1418.949846
479	1418.342745
480	1418.065104
481	1417.811587
482	1417.47916
483	1417.077207
484	1416.656382
485	1415.761343
486	1415.521908
487	1415.325642
488	1414.735514
489	1414.05769
490	1413.752097
491	1413.117522
492	1412.630742
493	1412.061246
494	1411.32762
495	1410.705173
496	1410.241346
497	1409.983772
498	1409.633288
499	1409.39567
500	1408.38206
501	1407.886517
502	1407.584176
503	1407.281369
504	1406.82314
505	1406.260598
506	1405.351939
507	1404.826739
508	1404.233321
509	1403.874746
510	1403.695308
511	1403.163802
512	1402.184623
513	1401.973067
514	1401.542808
515	1401.1165
516	1400.843483
517	1400.481591
518	1400.173259
519	1399.956724
520	1399.094182
521	1398.699569
522	1397.766027
523	1397.262587
524	1396.751084
525	1396.328591
526	1395.809564
527	1395.172808
528	1394.9445
529	1394.617279
530	1394.227426
531	1393.516003
532	1392.964034
