iter	Passed	Remaining
0	210	209926
1	222	111100
2	235	78205
3	249	62060
4	261	51980
5	273	45345
6	287	40807
7	298	36987
8	312	34358
9	323	32072
10	334	30104
11	346	28502
12	358	27249
13	373	26272
14	383	25193
15	398	24504
16	415	24025
17	429	23421
18	442	22838
19	453	22224
20	466	21732
21	476	21194
22	489	20789
23	503	20472
24	515	20113
25	534	20040
26	544	19639
27	556	19317
28	569	19053
29	583	18855
30	596	18639
31	607	18381
32	620	18192
33	635	18064
34	648	17885
35	668	17902
36	681	17738
37	698	17671
38	711	17541
39	722	17348
40	732	17128
41	742	16942
42	751	16734
43	764	16618
44	777	16503
45	785	16298
46	797	16172
47	806	15985
48	818	15879
49	826	15699
50	834	15537
51	842	15368
52	851	15218
53	859	15060
54	867	14907
55	875	14765
56	884	14626
57	892	14497
58	901	14376
59	911	14279
60	921	14182
61	931	14098
62	942	14017
63	951	13913
64	959	13808
65	973	13782
66	1002	13958
67	1019	13970
68	1041	14058
69	1051	13968
70	1060	13873
71	1070	13794
72	1079	13705
73	1087	13612
74	1095	13516
75	1103	13417
76	1111	13328
77	1120	13239
78	1128	13153
79	1135	13060
80	1144	12982
81	1152	12905
82	1163	12850
83	1171	12774
84	1181	12714
85	1194	12698
86	1206	12665
87	1217	12614
88	1227	12568
89	1237	12513
90	1248	12475
91	1259	12429
92	1267	12364
93	1275	12298
94	1284	12235
95	1293	12176
96	1300	12106
97	1308	12045
98	1312	11948
99	1318	11864
100	1323	11780
101	1327	11689
102	1331	11596
103	1336	11511
104	1340	11428
105	1344	11342
106	1348	11256
107	1352	11174
108	1357	11095
109	1361	11014
110	1366	10942
111	1372	10878
112	1376	10801
113	1379	10719
114	1382	10642
115	1388	10580
116	1392	10511
117	1396	10436
118	1400	10371
119	1405	10307
120	1409	10237
121	1412	10167
122	1417	10109
123	1422	10051
124	1426	9988
125	1432	9934
126	1436	9874
127	1440	9814
128	1444	9754
129	1450	9709
130	1455	9658
131	1460	9602
132	1466	9562
133	1471	9510
134	1477	9465
135	1482	9418
136	1487	9367
137	1490	9312
138	1495	9263
139	1501	9221
140	1506	9174
141	1512	9140
142	1517	9095
143	1523	9056
144	1528	9011
145	1532	8965
146	1538	8927
147	1543	8887
148	1548	8843
149	1553	8805
150	1616	9086
151	1629	9092
152	1652	9147
153	1665	9152
154	1677	9145
155	1703	9216
156	1735	9321
157	1750	9329
158	1778	9408
159	1791	9406
160	1827	9525
161	1858	9613
162	1870	9604
163	1886	9616
164	1902	9629
165	1913	9612
166	1937	9661
167	1944	9630
168	1952	9602
169	1959	9567
170	1963	9519
171	1967	9471
172	1973	9435
173	1977	9388
174	1982	9346
175	1989	9312
176	1993	9270
177	2000	9237
178	2005	9197
179	2009	9152
180	2013	9109
181	2019	9074
182	2025	9040
183	2030	9006
184	2036	8971
185	2041	8933
186	2045	8893
187	2051	8861
188	2067	8870
189	2094	8927
190	2121	8985
191	2130	8965
192	2137	8937
193	2147	8923
194	2154	8895
195	2158	8855
196	2167	8835
197	2171	8797
198	2175	8758
199	2180	8723
200	2188	8700
201	2196	8677
202	2201	8641
203	2205	8606
204	2211	8576
205	2215	8540
206	2220	8507
207	2228	8484
208	2234	8456
209	2239	8425
210	2247	8402
211	2253	8376
212	2262	8360
213	2268	8331
214	2273	8301
215	2280	8277
216	2285	8247
217	2294	8230
218	2300	8204
219	2304	8170
220	2309	8141
221	2314	8111
222	2319	8082
223	2342	8116
224	2347	8084
225	2353	8058
226	2360	8036
227	2364	8005
228	2369	7978
229	2376	7957
230	2382	7929
231	2390	7913
232	2396	7888
233	2401	7862
234	2410	7845
235	2415	7818
236	2421	7796
237	2427	7770
238	2433	7747
239	2441	7730
240	2446	7704
241	2453	7685
242	2459	7662
243	2464	7635
244	2472	7618
245	2478	7595
246	2489	7589
247	2496	7570
248	2505	7556
249	2511	7535
250	2517	7512
251	2525	7496
252	2531	7473
253	2536	7451
254	2541	7425
255	2548	7406
256	2555	7388
257	2560	7365
258	2568	7349
